field_name,value,match_type,comment,page,xmin,ymin,xmax,ymax
Citation,Abramo et al. (2008),found,As seen at the top of the article,1,235,402,450,412
Research Title,Osteotomy of dorsally displaced malunited fractures of the distal radius: No loss of radiographic correction during healing with a minimally invasive fixation technique and an injectable bone substitute,found,As seen at the top of the article,1,232,204,724,315
Study Location,Sweden,found,"The study was conducted in Lund, Sweden.",2,240,286,393,297
Study Design,Prospective cohort,inferred,The study included patients prospectively followed for 1 year.,3,240,507,488,517
Intervention Arm,Injectable bone substitute,found,NULL,2,516,184,639,194
Fracture Characteristics,Dorsally displaced malunited fractures of the distal radius,found,NULL,2,232,141,724,169
Angulation,Dorsal,inferred,NULL,2,232,171,393,182
Gap (mm),,inferred,NULL,1,0,0,0,0
Operative Technique,Minimally invasive fixation,found,NULL,2,516,172,693,194
Time to Osteotomy (weeks),64.0,found,NULL,3,444,612,464,622
Patient age (years),52.0,found,As seen in the age of the patients,3,353,587,371,597
Pre-osteotomy sample size,25.0,found,NULL,3,296,524,314,535
Post-osteotomy sample Size,,inferred,NULL,1,0,0,0,0
Time to Union (weeks),52.0,inferred,"All osteotomies healed within one year, one exception.",5,673,579,756,597
DASH score (before),36.0,found,NULL,6,228,444,239,455
DASH score (3 months),25.0,found,NULL,6,296,444,307,455
DASH score (6 months),,inferred,NULL,1,0,0,0,0
DASH score (1 year),23.0,found,NULL,6,361,444,372,455
DASH score (>1 year),,inferred,NULL,1,0,0,0,0
QuickDASH (before),,not_found,NULL,1,0,0,0,0
QuickDASH (3 months),25.0,inferred,NULL,4,0,0,0,0
QuickDASH (6 months),,not_found,NULL,0,0,0,0,0
QuickDASH (1 year),23.0,inferred,NULL,4,0,0,0,0
QuickDASH (>1 year),23.0,inferred,NULL,4,0,0,0,0
PRWE (before),,not_found,NULL,0,0,0,0,0
PRWE (3 months),,not_found,NULL,0,0,0,0,0
PRWE (6 months),,not_found,NULL,0,0,0,0,0
PRWE (1 year),,not_found,NULL,0,0,0,0,0
PRWE (>1 year),,not_found,NULL,0,0,0,0,0
Visual Analogue Scale (VAS) (Before),6.3,inferred,NULL,4,0,0,0,0
Visual Analogue Scale (VAS) (3 months),4.5,inferred,NULL,4,0,0,0,0
Visual Analogue Scale (VAS) (6 months),,not_found,NULL,0,0,0,0,0
Visual Analogue Scale (VAS) (1 year),3.8,inferred,NULL,4,0,0,0,0
Visual Analogue Scale (VAS) (>1 year),3.7,inferred,NULL,4,0,0,0,0
Mayo Wrist Score (Before),,not_found,NULL,0,0,0,0,0
Mayo Wrist Score (3 months),,not_found,NULL,0,0,0,0,0
Mayo Wrist Score (6 months),,not_found,NULL,0,0,0,0,0
Mayo Wrist Score (1 year),,not_found,NULL,0,0,0,0,0
Mayo Wrist Score (>1 year),,not_found,NULL,0,0,0,0,0
Wrist Flexion (degrees) (Before),102.0,inferred,Combined with extension: flexion/extension before was 102 degrees.,2,0,0,0,0
Wrist Flexion (degrees) (3 months),,not_found,Not mentioned in the document and cannot be inferred.,6,0,0,0,0
