field_name,value,match_type,comment,page,xmin,ymin,xmax,ymax
Citation,Mahmoud et al. (2012),found,,1,178,890,284,898
Research Title,Correction of dorsally-malunited extra-articular distal radial fractures using volar locked plates without bone grafting,found,,1,304,130,465,174
Study Location,Egypt,found,,1,181,345,210,353
Study Design,Prospective,found,,1,558,414,662,422
Intervention Arm,No graft,found,,1,444,165,516,174
Fracture Characteristics,Extra-articular,found,,1,305,141,437,150
Angulation,Dorsal,found,,1,366,319,427,328
Gap (mm),,inferred,"Gap in the metaphysis was observed, but numerical value not provided.",1,0,0,0,0
Operative Technique,Volar locked plates,found,,1,305,165,427,174
Time to Osteotomy (weeks),46.5,found,"Mean time from original fracture to osteotomy in months, converted to weeks",4,393,813,454,822
Patient age (years),31.8,found,,4,392,804,454,813
Pre-osteotomy sample size,30,found,,2,656,566,673,574
Post-osteotomy sample Size,22,found,,2,694,634,718,643
Time to Union (weeks),10.4,found,,5,313,683,361,691
DASH score (before),34.5,found,,6,263,847,305,855
DASH score (3 months),,not_found,,1,0,0,0,0
DASH score (6 months),,not_found,,1,0,0,0,0
DASH score (1 year),,inferred,"Final follow-up at a mean of 18 months, not specified for 1 year.",4,45,813,158,822
DASH score (>1 year),22.7,found,,6,393,847,435,855
QuickDASH (before),,not_found,Only DASH score is found.,1,0,0,0,0
QuickDASH (3 months),,not_found,NULL,1,0,0,0,0
QuickDASH (6 months),,not_found,NULL,1,0,0,0,0
QuickDASH (1 year),,not_found,NULL,1,0,0,0,0
QuickDASH (>1 year),12.9,inferred,NULL,1,0,0,0,0
PRWE (before),,not_found,NULL,1,0,0,0,0
PRWE (3 months),,not_found,NULL,1,0,0,0,0
PRWE (6 months),,not_found,NULL,1,0,0,0,0
PRWE (1 year),,not_found,NULL,1,0,0,0,0
PRWE (>1 year),,not_found,NULL,1,0,0,0,0
Visual Analogue Scale (VAS) (Before),4.2,found,NULL,6,313,617,348,625
Visual Analogue Scale (VAS) (3 months),,not_found,NULL,1,0,0,0,0
Visual Analogue Scale (VAS) (6 months),,not_found,NULL,1,0,0,0,0
Visual Analogue Scale (VAS) (1 year),,not_found,NULL,1,0,0,0,0
Visual Analogue Scale (VAS) (>1 year),0.8,inferred,NULL,1,0,0,0,0
Mayo Wrist Score (Before),62.1,found,NULL,6,313,626,352,634
Mayo Wrist Score (3 months),,not_found,NULL,1,0,0,0,0
Mayo Wrist Score (6 months),,not_found,NULL,1,0,0,0,0
Mayo Wrist Score (1 year),,not_found,NULL,1,0,0,0,0
Mayo Wrist Score (>1 year),84.8,inferred,NULL,1,0,0,0,0
Wrist Flexion (degrees) (Before),26.6,found,NULL,5,313,418,352,425
Wrist Flexion (degrees) (3 months),,inferred,,5,0,0,0,0
Wrist Flexion (degrees) (6 months),,inferred,,5,0,0,0,0
Wrist Flexion (degrees) (1 year),71.8,found,,5,622,533,639,542
Wrist Flexion (degrees) (>1 year),,inferred,,5,0,0,0,0
Wrist Extension (degrees) (Before),77.7,found,,5,509,542,526,551
Wrist Extension (degrees) (3 months),,inferred,,5,0,0,0,0
Wrist Extension (degrees) (6 months),,inferred,,5,0,0,0,0
Wrist Extension (degrees) (1 year),76.4,found,,5,622,542,639,551
Wrist Extension (degrees) (>1 year),,inferred,,5,0,0,0,0
Supination (degrees) (Before),23.0,found,,5,509,603,526,612
Supination (degrees) (3 months),,inferred,,5,0,0,0,0
Supination (degrees) (6 months),,inferred,,5,0,0,0,0
Supination (degrees) (1 year),57.9,found,,5,622,603,639,612
Supination (degrees) (>1 year),,inferred,,5,0,0,0,0
Pronation (degrees) (Before),50.5,found,,5,509,612,526,621
Pronation (degrees) (3 months),,inferred,,5,0,0,0,0
Pronation (degrees) (6 months),,inferred,,5,0,0,0,0
Pronation (degrees) (1 year),70.2,found,,5,622,612,639,621
Pronation (degrees) (>1 year),,inferred,,5,0,0,0,0
Radial Deviation (degrees) (Before),33.1,found,,5,509,570,526,579
Radial Deviation (degrees) (3 months),,not_found,NULL,0,0,0,0,0
Radial Deviation (degrees) (6 months),,not_found,NULL,0,0,0,0,0
Radial Deviation (degrees) (1 year),,not_found,NULL,0,0,0,0,0
