field_name,value,match_type,comment,page,xmin,ymin,xmax,ymax
Citation,Opel et al. (2014),found,,1,182,224,344,234
Research Title,Corrective distal radius osteotomy following fracture malunion using a fixed-angle volar locking plate,found,,1,182,139,578,179
Study Location,UK,found,,1,697,853,718,863
Study Design,Retrospective study,found,,1,298,304,353,314
Intervention Arm,No graft,found,No bone graft or substitutes were used,2,288,847,331,857
Fracture Characteristics,,not_found,,1,0,0,0,0
Angulation,dorsal,found,,1,768,612,810,622
Gap (mm),,not_found,,1,0,0,0,0
Operative Technique,Fixed-angle volar locking plate,found,,1,204,169,526,179
Time to Osteotomy (weeks),,not_found,,1,0,0,0,0
Patient age (years),57,found,,1,412,324,427,334
Pre-osteotomy sample size,20,found,,1,486,314,501,324
Post-osteotomy sample Size,,not_found,,1,0,0,0,0
Time to Union (weeks),12,found,Average time to union was 3 months.,1,707,366,732,376
DASH score (before),,not_found,,1,0,0,0,0
DASH score (3 months),,not_found,,1,0,0,0,0
DASH score (6 months),,not_found,,1,0,0,0,0
DASH score (1 year),13.48,found,DASH score was collected at a minimum of 12 months,2,510,770,566,780
DASH score (>1 year),,not_found,,1,0,0,0,0
QuickDASH (before),,not_found,,1,0,0,0,0
QuickDASH (3 months),,not_found,,0,0,0,0,0
QuickDASH (6 months),,not_found,,0,0,0,0,0
QuickDASH (1 year),13.48,inferred,,1,0,0,0,0
QuickDASH (>1 year),,not_found,,0,0,0,0,0
PRWE (before),,not_found,,0,0,0,0,0
PRWE (3 months),,not_found,,0,0,0,0,0
PRWE (6 months),,not_found,,0,0,0,0,0
PRWE (1 year),,not_found,,0,0,0,0,0
PRWE (>1 year),,not_found,,0,0,0,0,0
Visual Analogue Scale (VAS) (Before),,not_found,,0,0,0,0,0
Visual Analogue Scale (VAS) (3 months),,not_found,,0,0,0,0,0
Visual Analogue Scale (VAS) (6 months),,not_found,,0,0,0,0,0
Visual Analogue Scale (VAS) (1 year),,not_found,,0,0,0,0,0
Visual Analogue Scale (VAS) (>1 year),,not_found,,0,0,0,0,0
Mayo Wrist Score (Before),,not_found,,0,0,0,0,0
Mayo Wrist Score (3 months),,not_found,,0,0,0,0,0
Mayo Wrist Score (6 months),,not_found,,0,0,0,0,0
Mayo Wrist Score (1 year),,not_found,,0,0,0,0,0
Mayo Wrist Score (>1 year),,not_found,,0,0,0,0,0
Wrist Flexion (degrees) (Before),54.17,found,,3,242,149,272,158
Wrist Flexion (degrees) (3 months),,not_found,NULL,0,0,0,0,0
Wrist Flexion (degrees) (6 months),,not_found,NULL,0,0,0,0,0
