field_name,value,match_type,comment,page,xmin,ymin,xmax,ymax
Citation,Pecache et al. (2020),found,NULL,1,221,172,395,181
Research Title,Corrective Osteotomy of Distal Radius Malunion Using a Rectangular-shaped Iliac Bone Graft and Volar Plating,found,NULL,1,218,139,776,169
Study Location,Philippines,found,NULL,1,361,869,401,878
Study Design,Cohort Study,inferred,NULL,1,0,0,0,0
Intervention Arm,iliac bone graft,found,NULL,1,284,362,421,371
Fracture Characteristics,extra-articular,found,NULL,1,194,447,331,456
Angulation,Dorsal,inferred,NULL,4,639,668,673,677
Gap (mm),,not_found,NULL,0,0,0,0,0
Operative Technique,Volar Plating,found,NULL,1,599,160,692,169
Time to Osteotomy (weeks),,not_found,NULL,0,0,0,0,0
Patient age (years),,not_found,NULL,0,0,0,0,0
Pre-osteotomy sample size,13,found,NULL,4,622,233,639,242
Post-osteotomy sample Size,,not_found,NULL,0,0,0,0,0
Time to Union (weeks),,not_found,NULL,0,0,0,0,0
DASH score (before),,not_found,NULL,0,0,0,0,0
DASH score (3 months),,not_found,NULL,0,0,0,0,0
DASH score (6 months),,not_found,NULL,0,0,0,0,0
DASH score (1 year),,not_found,NULL,0,0,0,0,0
DASH score (>1 year),,not_found,NULL,0,0,0,0,0
QuickDASH (before),,not_found,NULL,0,0,0,0,0
QuickDASH (3 months),,not_found,,4,0,0,0,0
QuickDASH (6 months),,not_found,,4,0,0,0,0
QuickDASH (1 year),,not_found,,4,0,0,0,0
QuickDASH (>1 year),,not_found,,4,0,0,0,0
PRWE (before),,not_found,,4,0,0,0,0
PRWE (3 months),,not_found,,4,0,0,0,0
PRWE (6 months),,not_found,,4,0,0,0,0
PRWE (1 year),,not_found,,4,0,0,0,0
PRWE (>1 year),,not_found,,4,0,0,0,0
Visual Analogue Scale (VAS) (Before),,not_found,,4,0,0,0,0
Visual Analogue Scale (VAS) (3 months),,not_found,,4,0,0,0,0
Visual Analogue Scale (VAS) (6 months),,not_found,,4,0,0,0,0
Visual Analogue Scale (VAS) (1 year),,not_found,,4,0,0,0,0
Visual Analogue Scale (VAS) (>1 year),,not_found,,4,0,0,0,0
Mayo Wrist Score (Before),,not_found,,4,0,0,0,0
Mayo Wrist Score (3 months),,not_found,,4,0,0,0,0
Mayo Wrist Score (6 months),,not_found,,4,0,0,0,0
Mayo Wrist Score (1 year),,not_found,,4,0,0,0,0
Mayo Wrist Score (>1 year),,not_found,,4,0,0,0,0
Wrist Flexion (degrees) (Before),,not_found,,4,0,0,0,0
Wrist Flexion (degrees) (3 months),,not_found,Data not found in the provided document,0,0,0,0,0
Wrist Flexion (degrees) (6 months),,not_found,Data not found in the provided document,0,0,0,0,0
Wrist Flexion (degrees) (1 year),,not_found,Data not found in the provided document,0,0,0,0,0
Wrist Flexion (degrees) (>1 year),,not_found,Data not found in the provided document,0,0,0,0,0
Wrist Extension (degrees) (Before),,not_found,Data not found in the provided document,0,0,0,0,0
Wrist Extension (degrees) (3 months),,not_found,Data not found in the provided document,0,0,0,0,0
Wrist Extension (degrees) (6 months),,not_found,Data not found in the provided document,0,0,0,0,0
Wrist Extension (degrees) (1 year),,not_found,Data not found in the provided document,0,0,0,0,0
Wrist Extension (degrees) (>1 year),,not_found,Data not found in the provided document,0,0,0,0,0
