field_name,value,match_type,comment,page,xmin,ymin,xmax,ymax
Citation,Robinson et al. (2021),found,,1,190,54,718,64
Research Title,Simplifying the Volar Distraction Osteotomy for Distal Radius Malunion Repair,found,,1,182,96,692,131
Study Location,"Louisville, Kentucky",found,,1,191,196,269,204
Study Design,retrospective,found,,3,286,186,349,194
Intervention Arm,bone cement (Trabexus),found,,1,451,392,639,401
Fracture Characteristics,Extra-articular,found,,1,343,296,566,305
Angulation,,not_found,,1,0,0,0,0
Gap (mm),6.5,found,,3,498,527,526,535
Operative Technique,Volar distraction osteotomy,found,,1,353,372,454,381
Time to Osteotomy (weeks),13.76,found,normalized from 96.3 days to 13.76 weeks,1,409,429,447,438
Patient age (years),60.9,found,,1,418,420,447,429
Pre-osteotomy sample size,12,found,,3,375,464,390,472
Post-osteotomy sample Size,13,found,There were 13 wrists evaluated among the 12 patients.,3,390,464,405,472
Time to Union (weeks),,not_found,,1,0,0,0,0
DASH score (before),,not_found,,1,0,0,0,0
DASH score (3 months),,not_found,,1,0,0,0,0
DASH score (6 months),,not_found,,1,0,0,0,0
DASH score (1 year),,not_found,,1,0,0,0,0
DASH score (>1 year),,not_found,,1,0,0,0,0
QuickDASH (before),,not_found,,1,0,0,0,0
QuickDASH (3 months),,not_found,,1,0,0,0,0
QuickDASH (6 months),,not_found,,1,0,0,0,0
QuickDASH (1 year),,not_found,,1,0,0,0,0
QuickDASH (>1 year),,not_found,,1,0,0,0,0
PRWE (before),,not_found,,1,0,0,0,0
PRWE (3 months),,not_found,,1,0,0,0,0
PRWE (6 months),,not_found,,1,0,0,0,0
PRWE (1 year),,not_found,,1,0,0,0,0
PRWE (>1 year),,not_found,,1,0,0,0,0
Visual Analogue Scale (VAS) (Before),,not_found,,1,0,0,0,0
Visual Analogue Scale (VAS) (3 months),,not_found,,1,0,0,0,0
Visual Analogue Scale (VAS) (6 months),,not_found,,1,0,0,0,0
Visual Analogue Scale (VAS) (1 year),,not_found,,1,0,0,0,0
Visual Analogue Scale (VAS) (>1 year),,not_found,,1,0,0,0,0
